Symbol,Date,Time,Open,High,Low,Close
MNQ2022Z,06/12/2022,2016,11588,11589.25,11587.25,11589
MNQ2022Z,06/12/2022,2017,11590,11590,11588.25,11589
MNQ2022Z,06/12/2022,2018,11589.25,11590,11587.75,11589.25
MNQ2022Z,06/12/2022,2019,11589,11591,11588.25,11590.5
MNQ2022Z,06/12/2022,2020,11590.75,11591.75,11590.75,11591
MNQ2022Z,06/12/2022,2021,11591.25,11591.75,11590.5,11591
MNQ2022Z,06/12/2022,2022,11591,11592.75,11590.75,11591
MNQ2022Z,06/12/2022,2023,11591,11591.75,11588.25,11589.75
MNQ2022Z,06/12/2022,2024,11589.5,11589.5,11587.75,11588.5
MNQ2022Z,06/12/2022,2025,11588.5,11590,11587.75,11587.75
MNQ2022Z,06/12/2022,2026,11588,11588.25,11586,11586.25
MNQ2022Z,06/12/2022,2027,11586,11588,11585.5,11587.25
MNQ2022Z,06/12/2022,2028,11587.5,11591.25,11587,11591
MNQ2022Z,06/12/2022,2029,11591.25,11593,11590.5,11592.25
MNQ2022Z,06/12/2022,2030,11592,11594.75,11591.25,11593.75
MNQ2022Z,06/12/2022,2031,11593.75,11594.5,11591.75,11593
MNQ2022Z,06/12/2022,2032,11593.25,11593.75,11590.25,11592
MNQ2022Z,06/12/2022,2033,11591.5,11592.25,11588,11588.5
MNQ2022Z,06/12/2022,2034,11588.5,11589.75,11587,11589.75
MNQ2022Z,06/12/2022,2035,11590,11593.5,11589.5,11592.25
MNQ2022Z,06/12/2022,2036,11592.25,11594.25,11592,11593.25
MNQ2022Z,06/12/2022,2037,11593,11595.25,11592.5,11595
MNQ2022Z,06/12/2022,2038,11594.75,11594.75,11592.75,11593.25
MNQ2022Z,06/12/2022,2039,11593.75,11595.25,11593.25,11594.5
MNQ2022Z,06/12/2022,2040,11594.5,11595.25,11593.25,11593.25
MNQ2022Z,06/12/2022,2041,11593.25,11593.75,11591.5,11592.25
MNQ2022Z,06/12/2022,2042,11592,11592.75,11589.5,11592
MNQ2022Z,06/12/2022,2043,11592.5,11595.25,11592.5,11594
MNQ2022Z,06/12/2022,2044,11593.75,11593.75,11591.75,11592.5
MNQ2022Z,06/12/2022,2045,11592,11593,11592,11592.5
MNQ2022Z,06/12/2022,2046,11592,11592.25,11590.75,11590.75
MNQ2022Z,06/12/2022,2047,11590.75,11591.25,11588,11589.75
MNQ2022Z,06/12/2022,2048,11590,11592.25,11590,11590.5
MNQ2022Z,06/12/2022,2049,11590.25,11593.25,11590.25,11592
MNQ2022Z,06/12/2022,2050,11591.75,11593,11590.75,11591.5
MNQ2022Z,06/12/2022,2051,11591.5,11592.25,11590.25,11592
MNQ2022Z,06/12/2022,2052,11592.25,11593.25,11592,11592.5
MNQ2022Z,06/12/2022,2053,11592.75,11592.75,11591,11591
MNQ2022Z,06/12/2022,2054,11591,11591.5,11590.5,11590.75
MNQ2022Z,06/12/2022,2055,11590.5,11591,11589,11589.25
MNQ2022Z,06/12/2022,2056,11589,11590,11588.5,11589.25
MNQ2022Z,06/12/2022,2057,11588.5,11589,11587.25,11587.5
MNQ2022Z,06/12/2022,2058,11587.25,11589.75,11587,11589
MNQ2022Z,06/12/2022,2059,11588.75,11590.75,11588.25,11589.5
MNQ2022Z,06/12/2022,2100,11590,11590,11587.25,11587.25
MNQ2022Z,06/12/2022,2101,11587,11587.25,11585.5,11585.75
MNQ2022Z,06/12/2022,2102,11585.5,11585.75,11583.75,11585.25
MNQ2022Z,06/12/2022,2103,11586.25,11586.5,11584.75,11585
MNQ2022Z,06/12/2022,2104,11584.75,11585.75,11584,11585.75
MNQ2022Z,06/12/2022,2105,11585.5,11586.25,11584.25,11585.25
MNQ2022Z,06/12/2022,2106,11585.25,11586.75,11585.25,11585.5
MNQ2022Z,06/12/2022,2107,11585.5,11585.5,11582.25,11582.75
